cuisine,meal_type,food_name,ingredients,calories,fat,sat_fat,cholestrol,sodium,carbs,fiber,sugar,protein,diet_type,fatcontent,saturatedfatcontent
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.11,6.2
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.77,10.1
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.77,3.19
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,23.11,9.56
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,13.42,6.71
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.53,4.2
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.66,13.72
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.36,9.59
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,12.23,9.66
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.99,14.4
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,23.1,11.83
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.84,9.57
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,21.73,14.87
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,29.45,2.72
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.63,12.46
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.54,13.94
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.27,3.82
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.29,13.41
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.24,14.95
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.97,7.8
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,5.39,5.27
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.0,14.55
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,22.52,6.51
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,26.09,7.07
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.35,12.19
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.02,9.49
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,3.75,7.21
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.54,9.27
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.5,0.51
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.29,1.9
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.9,14.21
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.75,7.01
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.26,11.34
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.24,5.52
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.76,1.79
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.44,12.88
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.01,2.59
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.08,14.89
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,24.36,13.24
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.25,3.44
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,6.9,8.64
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.06,2.22
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,7.4,12.27
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.52,11.58
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,8.64,4.39
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.83,1.68
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,7.9,11.2
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.22,6.71
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.75,14.25
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.69,12.03
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,22.53,4.56
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.6,8.48
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.28,9.89
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,18.54,3.85
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.57,14.82
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.41,8.11
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,2.4,11.23
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.59,13.97
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.11,3.03
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,22.85,1.38
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,14.87,12.82
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,16.07,4.31
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,10.03,12.87
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.58,2.61
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.81,2.4
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,19.35,7.59
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.53,9.21
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.86,9.99
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,16.55,13.47
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,12.58,5.01
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,15.3,9.35
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.33,10.32
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.97,9.49
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,4.85,4.27
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,20.89,2.92
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.18,9.56
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,24.4,8.44
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.02,7.65
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.1,11.82
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,29.54,10.44
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.07,7.16
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,18.27,5.17
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.73,13.47
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.2,4.52
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,6.18,11.14
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.71,4.54
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.9,2.58
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.08,4.66
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.85,1.73
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.88,11.77
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.19,14.1
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,21.57,7.28
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,23.42,10.65
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.64,14.19
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.58,14.45
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,8.82,9.64
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.1,12.82
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,6.4,13.03
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.08,10.03
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,20.93,9.15
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.37,9.29
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,25.23,6.77
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,13.18,11.68
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,9.28,13.25
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,12.21,1.52
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,1.21,14.71
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,6.52,6.36
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.45,13.42
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.06,0.97
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,18.01,13.37
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.71,4.32
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.8,8.65
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,11.0,1.84
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.28,7.2
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.39,3.55
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.45,13.87
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,8.45,13.58
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,15.16,7.1
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,29.66,11.09
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,14.22,7.54
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,10.17,14.66
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.78,1.99
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.02,6.71
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,11.71,14.67
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,5.67,13.1
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,12.21,6.29
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,26.0,4.89
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,20.43,14.82
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,27.21,0.87
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.84,3.32
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,1.45,9.45
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,28.55,12.87
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.18,1.58
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,23.1,3.78
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,6.2,7.22
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,4.5,6.45
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,17.73,9.42
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,21.96,2.27
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,10.89,3.74
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,29.99,14.34
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.98,1.04
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,22.46,13.4
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,2.49,13.18
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.52,14.28
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,19.94,8.08
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.2,1.71
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,18.31,12.2
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,2.59,13.67
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,3.34,1.5
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.89,14.85
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,12.95,13.81
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,14.32,14.53
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,1.18,1.23
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.73,6.98
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,27.9,8.78
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,15.47,12.75
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.15,1.66
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,12.04,14.84
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,11.22,6.48
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.6,2.44
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.9,9.82
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.46,7.08
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,9.65,3.84
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,25.74,2.27
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,8.38,9.61
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,8.98,6.31
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.29,8.08
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.6,8.2
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,16.36,5.08
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,7.86,6.56
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,18.69,14.57
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,25.88,10.64
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.1,14.4
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,4.34,6.6
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,29.51,1.8
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,8.88,13.29
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.87,12.06
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,24.1,2.76
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,26.52,2.93
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,8.89,14.26
American,Lunch,Grilled Chicken Sandwich,"chicken breast, whole wheat bread, lettuce, tomato, mustard",450,12,3,65,520,35,4,4,38,high protein,20.56,4.88
Japanese,Dinner,Salmon Teriyaki,"salmon, soy sauce, ginger, garlic, sesame oil",530,28,5,70,680,18,1,5,40,balanced,28.19,5.54
Indian,Breakfast,Poha,"flattened rice, mustard seeds, curry leaves, turmeric, onions",310,10,2,0,300,45,3,5,8,weight loss,7.37,11.79
